Time,Event,Object,Involved,P1,P2,P3,P4
7200.000000,StatisticsCollectorTimerEventReferenceListener,/Tools/ChartTemplates/容量Vs 时间>stats/statisticsCollector/StatisticsCollector>stats/liveListeners/3,/Tools/ChartTemplates/容量Vs 时间>stats/statisticsCollector/StatisticsCollector,0.000000,0.000000,0.000000,0.000000
7200.000000,StatisticsCollectorTimerEventReferenceListener,/Tools/ChartTemplates/容量Vs 时间 1>stats/statisticsCollector/StatisticsCollector>stats/liveListeners/3,/Tools/ChartTemplates/容量Vs 时间 1>stats/statisticsCollector/StatisticsCollector,0.000000,0.000000,0.000000,0.000000
7200.000000,ProcessFlow::TimerEvent,/Tools/ProcessFlow/ReplenishFlow/发生器,/Tools/ProcessFlow/ReplenishFlow>stats/instances/ReplenishFlow,0.000000,0.000000,0.000000,0.000000
7200.000000,TaskSequence: Receive TS,/car 1,/car 1>variables/tasksequencequeue/ts79,,,,
7200.000000,TaskSequence: Begin TS,/car 1,/car 1>variables/activetasksequence/ts79,,,,
7200.000000,BeginTask: Travel,/car 1,/Material Supermarket _Loading Point_,end speed: 0.000000,forcetravel: 0.000000,,
7200.000000,TaskSequence: Receive TS,/car 2,/car 2>variables/tasksequencequeue/ts80,,,,
7200.000000,TaskSequence: Begin TS,/car 2,/car 2>variables/activetasksequence/ts80,,,,
7200.000000,BeginTask: Travel,/car 2,/Material Supermarket _Loading Point_,end speed: 0.000000,forcetravel: 0.000000,,
7200.000000,StatisticsCollectorTimerEventReferenceListener,/Tools/ChartTemplates/diatance traveled per hour >stats/statisticsCollector/StatisticsCollector>stats/liveListeners/1,/Tools/ChartTemplates/diatance traveled per hour >stats/statisticsCollector/StatisticsCollector,0.000000,0.000000,0.000000,0.000000
7200.000000,StatisticsCollectorTimerEventReferenceListener,/Tools/ChartTemplates/diatance traveled per hour >stats/statisticsCollector/StatisticsCollector>stats/liveListeners/1,/Tools/ChartTemplates/diatance traveled per hour >stats/statisticsCollector/StatisticsCollector,0.000000,0.000000,0.000000,0.000000
7200.000000,StatisticsCollectorTimerEventReferenceListener,/Tools/ChartTemplates/每小时产量>stats/statisticsCollector/StatisticsCollector>stats/liveListeners/2,/Tools/ChartTemplates/每小时产量>stats/statisticsCollector/StatisticsCollector,0.000000,0.000000,0.000000,0.000000
7200.000000,StatisticsCollectorTimerEventReferenceListener,/Tools/ChartTemplates/每小时产量>stats/statisticsCollector/StatisticsCollector>stats/liveListeners/2,/Tools/ChartTemplates/每小时产量>stats/statisticsCollector/StatisticsCollector,0.000000,0.000000,0.000000,0.000000
7200.000000,StatisticsCollectorTimerEventReferenceListener,/Tools/ChartTemplates/每小时行进距离>stats/statisticsCollector/StatisticsCollector>stats/liveListeners/1,/Tools/ChartTemplates/每小时行进距离>stats/statisticsCollector/StatisticsCollector,0.000000,0.000000,0.000000,0.000000
7200.000000,StatisticsCollectorTimerEventReferenceListener,/Tools/ChartTemplates/每小时行进距离>stats/statisticsCollector/StatisticsCollector>stats/liveListeners/1,/Tools/ChartTemplates/每小时行进距离>stats/statisticsCollector/StatisticsCollector,0.000000,0.000000,0.000000,0.000000
7200.000000,StatisticsCollectorTimerEventReferenceListener,/Tools/ChartTemplates/停留时间 By 小时>stats/statisticsCollector/StatisticsCollector>stats/liveListeners/2,/Tools/ChartTemplates/停留时间 By 小时>stats/statisticsCollector/StatisticsCollector,0.000000,0.000000,0.000000,0.000000
7200.000000,StatisticsCollectorTimerEventReferenceListener,/Tools/ChartTemplates/停留时间 By 小时>stats/statisticsCollector/StatisticsCollector>stats/liveListeners/2,/Tools/ChartTemplates/停留时间 By 小时>stats/statisticsCollector/StatisticsCollector,0.000000,0.000000,0.000000,0.000000
7204.870117,Engine: Timed Event,/DefaultNetworkNavigator,/DefaultNetworkNavigator>variables/nrtofirstnode/networkrequest~2,EVENT_ENDTRAVELTIME,,,
7204.870117,Trigger: OnArrival,/NN9,/car 2,toedge: 1.000000,fromedge: 0.000000,,
7204.870117,Trigger: OnContinue,/NN9,/car 2,toedge: 1.000000,fromedge: 0.000000,,
7205.483887,Engine: Timed Event,/DefaultNetworkNavigator,/DefaultNetworkNavigator>variables/nrtofirstnode/networkrequest,EVENT_ENDTRAVELTIME,,,
7205.483887,Trigger: OnArrival,/NN14,/car 1,toedge: 1.000000,fromedge: 0.000000,,
7205.483887,Trigger: OnContinue,/NN14,/car 1,toedge: 1.000000,fromedge: 0.000000,,
