Time,Event,Object,Involved,P1,P2,P3,P4
0.000000,Trigger: OnReset,/Tools/FlowItemBin/TaskExecuter/TaskExecuter,<no path>,,,,
0.000000,Engine: Input Port Open,/Tools/ProcessFlow/发生器,<no path>,,,,
0.000000,Trigger: OnReset,/Tools/ProcessFlow/发生器>variables/instanceObject/Source,<no path>,,,,
0.000000,Engine: Input Port Open,/Tools/ProcessFlow/ReplenishFlow,<no path>,,,,
0.000000,Engine: Input Port Open,/Tools/ProcessFlow/工艺流程,<no path>,,,,
0.000000,Trigger: OnReset,/Tools/GlobalTables/StrategyParams,<no path>,,,,
0.000000,Trigger: OnReset,/Tools/GlobalTables/CurrentRow,<no path>,,,,
7200.000000,StatisticsCollectorTimerEventReferenceListener,/Tools/ChartTemplates/容量Vs 时间>stats/statisticsCollector/StatisticsCollector>stats/liveListeners/1,/Tools/ChartTemplates/容量Vs 时间>stats/statisticsCollector/StatisticsCollector,0.000000,0.000000,0.000000,0.000000
7200.000000,StatisticsCollectorTimerEventReferenceListener,/Tools/ChartTemplates/容量Vs 时间 1>stats/statisticsCollector/StatisticsCollector>stats/liveListeners/3,/Tools/ChartTemplates/容量Vs 时间 1>stats/statisticsCollector/StatisticsCollector,0.000000,0.000000,0.000000,0.000000
7200.000000,ProcessFlow::TimerEvent,/Tools/ProcessFlow/ReplenishFlow/发生器,/Tools/ProcessFlow/ReplenishFlow>stats/instances/ReplenishFlow,0.000000,0.000000,0.000000,0.000000
7200.000000,TaskSequence: Receive TS,/car 1,/car 1>variables/tasksequencequeue/ts79,,,,
7200.000000,TaskSequence: Begin TS,/car 1,/car 1>variables/activetasksequence/ts79,,,,
7200.000000,BeginTask: Travel,/car 1,/Material Supermarket _Loading Point_,end speed: 0.000000,forcetravel: 0.000000,,
7200.000000,TaskSequence: Receive TS,/car 2,/car 2>variables/tasksequencequeue/ts80,,,,
7200.000000,TaskSequence: Begin TS,/car 2,/car 2>variables/activetasksequence/ts80,,,,
7200.000000,BeginTask: Travel,/car 2,/Material Supermarket _Loading Point_,end speed: 0.000000,forcetravel: 0.000000,,
7200.000000,StatisticsCollectorTimerEventReferenceListener,/Tools/ChartTemplates/每小时行进距离>stats/statisticsCollector/StatisticsCollector>stats/liveListeners/1,/Tools/ChartTemplates/每小时行进距离>stats/statisticsCollector/StatisticsCollector,0.000000,0.000000,0.000000,0.000000
