Time,Event,Object,Involved,P1,P2,P3,P4
7461.927246,Trigger: Pull Requirement,/Line 1 WIP Buffer Area 3,/Material Supermarket _Loading Point_/Product~8,port: 1.000000,,,
7461.927246,Trigger: Pull Requirement,/Line 1 WIP Buffer Area 3,/Material Supermarket _Loading Point_/Product~9,port: 1.000000,,,
7461.927246,Trigger: Pull Requirement,/Line 1 WIP Buffer Area 3,/Material Supermarket _Loading Point_/Product~10,port: 1.000000,,,
7461.927246,Trigger: Pull Requirement,/Line 1 WIP Buffer Area 3,/Material Supermarket _Loading Point_/Product~11,port: 1.000000,,,
7461.927246,Trigger: Pull Requirement,/Line 1 WIP Buffer Area 3,/Material Supermarket _Loading Point_/Product~12,port: 1.000000,,,
7461.927246,Trigger: Pull Requirement,/Line 1 WIP Buffer Area 3,/Material Supermarket _Loading Point_/Product~13,port: 1.000000,,,
7461.927246,Trigger: Pull Requirement,/Line 1 WIP Buffer Area 3,/Material Supermarket _Loading Point_/Product~14,port: 1.000000,,,
7461.927246,Trigger: Pull Requirement,/Line 1 WIP Buffer Area 3,/Material Supermarket _Loading Point_/Product~15,port: 1.000000,,,
7461.927246,Trigger: Pull Requirement,/Line 1 WIP Buffer Area 3,/Material Supermarket _Loading Point_/Product~16,port: 1.000000,,,
7461.927246,Trigger: Pull Requirement,/Line 1 WIP Buffer Area 3,/Material Supermarket _Loading Point_/Product~17,port: 1.000000,,,
7461.927246,Trigger: Pull Requirement,/Line 1 WIP Buffer Area 3,/Material Supermarket _Loading Point_/Product~18,port: 1.000000,,,
7461.927246,Trigger: Pull Requirement,/Line 1 WIP Buffer Area 3,/Material Supermarket _Loading Point_/Product~19,port: 1.000000,,,
7461.927246,Trigger: Pull Requirement,/Line 1 WIP Buffer Area 3,/Material Supermarket _Loading Point_/Product~20,port: 1.000000,,,
7461.927246,Trigger: Pull Requirement,/Line 1 WIP Buffer Area 3,/Material Supermarket _Loading Point_/Product~21,port: 1.000000,,,
7461.927246,Trigger: Pull Requirement,/Line 1 WIP Buffer Area 3,/Material Supermarket _Loading Point_/Product~22,port: 1.000000,,,
7461.927246,Trigger: Pull Requirement,/Line 1 WIP Buffer Area 3,/Material Supermarket _Loading Point_/Product~23,port: 1.000000,,,
7461.927246,Trigger: Pull Requirement,/Line 1 WIP Buffer Area 3,/Material Supermarket _Loading Point_/Product~24,port: 1.000000,,,
7461.927246,Trigger: Request Transport From,/Material Supermarket _Loading Point_,/Material Supermarket _Loading Point_/Product~24,port: 5.000000,,,
7461.927246,TaskSequence: Receive TS,/car 1,/car 1>variables/tasksequencequeue/ts153,,,,
7461.927246,TaskSequence: Begin TS,/car 1,/car 1>variables/activetasksequence/ts153,,,,
7461.927246,BeginTask: Travel,/car 1,/Material Supermarket _Loading Point_,end speed: 0.000000,forcetravel: 0.000000,,
7466.381348,BeginTask: Unload,/Translation Operator 3,/Translation Operator 3/Product,involved2: /Line 1 Workstation 3,input port: 1.000000,end speed: 0.000000,
7466.381348,Trigger: Unload Time,/Translation Operator 3,/Translation Operator 3/Product,station: /Line 1 Workstation 3,,,
7466.381348,Trigger: OnUnload,/Translation Operator 3,/Translation Operator 3/Product,station: /Line 1 Workstation 3,,,
7466.381348,Engine: Send Object,/Translation Operator 3,/Translation Operator 3/Product,,,,
7466.381348,Engine: Receive Object,/Line 1 Workstation 3,/Line 1 Workstation 3/Product,,,,
7466.381348,Trigger: OnEntry,/Line 1 Workstation 3,/Line 1 Workstation 3/Product,port: 1.000000,,,
7466.381348,Trigger: Setup Time,/Line 1 Workstation 3,/Line 1 Workstation 3/Product,port: 1.000000,,,
7466.381348,TaskSequence: Finish TS,/Translation Operator 3,/Translation Operator 3>variables/activetasksequence/ts152,,,,
7466.381348,Trigger: OnResourceAvailable,/Translation Operator 3,<no path>,port: 0.000000,resource: <no path>,nextts: <no path>,lastts: <no path>
7466.381348,Trigger: OnSetupFinish,/Line 1 Workstation 3,/Line 1 Workstation 3/Product,trigger: Call Operators,,,
7466.381348,Trigger: Process Time,/Line 1 Workstation 3,/Line 1 Workstation 3/Product,,,,
7466.381348,Trigger: Pick Operator,/Line 1 Workstation 3,/Line 1 Workstation 3/Product,2.000000,,,
7466.381348,TaskSequence: Receive TS,/Translation Operator 3,/Translation Operator 3>variables/tasksequencequeue/ts154,,,,
7466.381348,TaskSequence: Begin TS,/Translation Operator 3,/Translation Operator 3>variables/activetasksequence/ts154,,,,
7466.381348,BeginTask: MileStone,/Translation Operator 3,<no path>,range: 3.000000,,,
7466.381348,BeginTask: Travel,/Translation Operator 3,/Line 1 Workstation 3,end speed: 0.000000,forcetravel: -1.000000,,
7466.381348,BeginTask: StopRequestFinish,/Translation Operator 3,/Line 1 Workstation 3,repeat: 0.000000,id: 100002.000000,already executed: 0.000000,
7466.381348,BeginTask: Utilize,/Translation Operator 3,/Line 1 Workstation 3/Product,involved2: /Line 1 Workstation 3,state: 0.000000,,
7467.106934,Trigger: OnArrival,/NN11,/car 1,toedge: 1.000000,fromedge: 0.000000,,
7467.106934,Trigger: OnContinue,/NN11,/car 1,toedge: 1.000000,fromedge: 0.000000,,
7472.106934,Trigger: OnArrival,/NN10,/car 1,toedge: 1.000000,fromedge: 2.000000,,
7472.106934,Trigger: OnContinue,/NN10,/car 1,toedge: 1.000000,fromedge: 2.000000,,
7477.106934,Trigger: OnArrival,/NN3,/car 1,toedge: 1.000000,fromedge: 2.000000,,
7477.106934,Trigger: OnContinue,/NN3,/car 1,toedge: 1.000000,fromedge: 2.000000,,
7478.362793,Trigger: OnProcessFinish,/Line 2 Workstation 4,/Line 2 Workstation 4/Product,,,,
7478.362793,TaskSequence: Finish TS,/Translation Operator 9,/Translation Operator 9>variables/activetasksequence/ts122,,,,
7478.362793,Trigger: OnResourceAvailable,/Translation Operator 9,<no path>,port: 0.000000,resource: <no path>,nextts: <no path>,lastts: <no path>
7478.362793,Trigger: Send To Port,/Line 2 Workstation 4,/Line 2 Workstation 4/Product,,,,
7478.362793,Trigger: Request Transport From,/Line 2 Workstation 4,/Line 2 Workstation 4/Product,port: 1.000000,,,
7478.362793,TaskSequence: Receive TS,/Translation Operator 9,/Translation Operator 9>variables/tasksequencequeue/ts155,,,,
7478.362793,TaskSequence: Begin TS,/Translation Operator 9,/Translation Operator 9>variables/activetasksequence/ts155,,,,
7478.362793,BeginTask: Travel,/Translation Operator 9,/Line 2 Workstation 4,end speed: 0.000000,forcetravel: 0.000000,,
7478.362793,BeginTask: Load,/Translation Operator 9,/Line 2 Workstation 4/Product,involved2: /Line 2 Workstation 4,output port: 1.000000,end speed: 0.000000,
7478.362793,Trigger: Load Time,/Translation Operator 9,/Line 2 Workstation 4/Product,station: /Line 2 Workstation 4,,,
7482.044434,Engine: Send Object,/Line 2 Workstation 4,/Line 2 Workstation 4/Product,1.000000,,,
7482.044434,Trigger: OnExit,/Line 2 Workstation 4,/Line 2 Workstation 4/Product,port: 1.000000,,,
7482.044434,Engine: Receive Object,/Translation Operator 9,/Translation Operator 9/Product,1.000000,,,
7482.044434,Trigger: OnLoad,/Translation Operator 9,/Translation Operator 9/Product,station: /Line 2 Workstation 4,,,
7482.044434,BeginTask: Break,/Translation Operator 9,<no path>,involved2: <no path>,check content: 0.000000,check receive: 0.000000,msgparam(3): 0.000000
7482.044434,BeginTask: Travel,/Translation Operator 9,/Line 2 Finished Goods Buffer Area 4,end speed: 0.000000,forcetravel: 0.000000,,
7482.044434,Trigger: Pull From Port,/Line 2 Workstation 4,<no path>,,,,
7482.044434,Trigger: Pull Requirement,/Line 2 Workstation 4,/Line 2 WIP Buffer Area 4/Product,port: 1.000000,,,
7482.044434,Trigger: Request Transport From,/Line 2 WIP Buffer Area 4,/Line 2 WIP Buffer Area 4/Product,port: 1.000000,,,
7482.044434,TaskSequence: Receive TS,/Translation Operator 9,/Translation Operator 9>variables/tasksequencequeue/ts156,,,,
7482.044434,Trigger: PassTo,/Translation Operator 9,/Translation Operator 9>variables/tasksequencequeue/ts156,,,,
7485.606934,Trigger: OnArrival,/NN2,/car 1,toedge: 1.000000,fromedge: 2.000000,,
7485.606934,Trigger: OnContinue,/NN2,/car 1,toedge: 1.000000,fromedge: 2.000000,,
7486.941895,BeginTask: Unload,/Translation Operator 9,/Translation Operator 9/Product,involved2: /Line 2 Finished Goods Buffer Area 4,input port: 1.000000,end speed: 0.000000,
7486.941895,Trigger: Unload Time,/Translation Operator 9,/Translation Operator 9/Product,station: /Line 2 Finished Goods Buffer Area 4,,,
7486.981934,Trigger: OnUnload,/Translation Operator 9,/Translation Operator 9/Product,station: /Line 2 Finished Goods Buffer Area 4,,,
7486.981934,Engine: Send Object,/Translation Operator 9,/Translation Operator 9/Product,,,,
7486.981934,Engine: Receive Object,/Line 2 Finished Goods Buffer Area 4,/Line 2 Finished Goods Buffer Area 4/Product~2,,,,
7486.981934,Trigger: OnEntry,/Line 2 Finished Goods Buffer Area 4,/Line 2 Finished Goods Buffer Area 4/Product~2,port: 1.000000,,,
7486.981934,Trigger: OnEndCollecting,/Line 2 Finished Goods Buffer Area 4,/Line 2 Finished Goods Buffer Area 4/Product~2,batchsize: 1.000000,,,
7486.981934,Trigger: Send To Port,/Line 2 Finished Goods Buffer Area 4,/Line 2 Finished Goods Buffer Area 4/Product~2,,,,
7486.981934,TaskSequence: Finish TS,/Translation Operator 9,/Translation Operator 9>variables/activetasksequence/ts155,,,,
7486.981934,Trigger: QueueStrategy,/Translation Operator 9,/Translation Operator 9>variables/tasksequencequeue/ts156,,,,
7486.981934,Trigger: OnResourceAvailable,/Translation Operator 9,<no path>,port: 0.000000,resource: <no path>,nextts: <no path>,lastts: <no path>
7486.981934,TaskSequence: Begin TS,/Translation Operator 9,/Translation Operator 9>variables/activetasksequence/ts156,,,,
7486.981934,BeginTask: Travel,/Translation Operator 9,/Line 2 WIP Buffer Area 4,end speed: 0.000000,forcetravel: 0.000000,,
7496.822266,BeginTask: Load,/Translation Operator 9,/Line 2 WIP Buffer Area 4/Product,involved2: /Line 2 WIP Buffer Area 4,output port: 1.000000,end speed: 0.000000,
7496.822266,Trigger: Load Time,/Translation Operator 9,/Line 2 WIP Buffer Area 4/Product,station: /Line 2 WIP Buffer Area 4,,,
7497.736816,Engine: Send Object,/Line 2 WIP Buffer Area 4,/Line 2 WIP Buffer Area 4/Product,1.000000,,,
7497.736816,Trigger: OnExit,/Line 2 WIP Buffer Area 4,/Line 2 WIP Buffer Area 4/Product,port: 1.000000,,,
7497.736816,Engine: Receive Object,/Translation Operator 9,/Translation Operator 9/Product,1.000000,,,
7497.736816,Trigger: OnLoad,/Translation Operator 9,/Translation Operator 9/Product,station: /Line 2 WIP Buffer Area 4,,,
7497.736816,BeginTask: Break,/Translation Operator 9,<no path>,involved2: <no path>,check content: 0.000000,check receive: 0.000000,msgparam(3): 0.000000
7497.736816,BeginTask: Travel,/Translation Operator 9,/Line 2 Workstation 4,end speed: 0.000000,forcetravel: 0.000000,,
7497.736816,Trigger: Pull From Port,/Line 2 WIP Buffer Area 4,<no path>,,,,
7497.736816,Trigger: Pull Requirement,/Line 2 WIP Buffer Area 4,/Material Supermarket _Loading Point_/Product,port: 1.000000,,,
7497.736816,Trigger: Request Transport From,/Material Supermarket _Loading Point_,/Material Supermarket _Loading Point_/Product,port: 8.000000,,,
7497.736816,TaskSequence: Receive TS,/car 2,/car 2>variables/tasksequencequeue/ts157,,,,
7497.736816,TaskSequence: Begin TS,/car 2,/car 2>variables/activetasksequence/ts157,,,,
7497.736816,BeginTask: Travel,/car 2,/Material Supermarket _Loading Point_,end speed: 0.000000,forcetravel: 0.000000,,
7502.618164,BeginTask: Unload,/Translation Operator 9,/Translation Operator 9/Product,involved2: /Line 2 Workstation 4,input port: 1.000000,end speed: 0.000000,
7502.618164,Trigger: Unload Time,/Translation Operator 9,/Translation Operator 9/Product,station: /Line 2 Workstation 4,,,
7502.618164,Trigger: OnUnload,/Translation Operator 9,/Translation Operator 9/Product,station: /Line 2 Workstation 4,,,
7502.618164,Engine: Send Object,/Translation Operator 9,/Translation Operator 9/Product,,,,
7502.618164,Engine: Receive Object,/Line 2 Workstation 4,/Line 2 Workstation 4/Product,,,,
7502.618164,Trigger: OnEntry,/Line 2 Workstation 4,/Line 2 Workstation 4/Product,port: 1.000000,,,
7502.618164,Trigger: Setup Time,/Line 2 Workstation 4,/Line 2 Workstation 4/Product,port: 1.000000,,,
7502.618164,TaskSequence: Finish TS,/Translation Operator 9,/Translation Operator 9>variables/activetasksequence/ts156,,,,
7502.618164,Trigger: OnResourceAvailable,/Translation Operator 9,<no path>,port: 0.000000,resource: <no path>,nextts: <no path>,lastts: <no path>
7502.618164,Trigger: OnSetupFinish,/Line 2 Workstation 4,/Line 2 Workstation 4/Product,trigger: Call Operators,,,
7502.618164,Trigger: Process Time,/Line 2 Workstation 4,/Line 2 Workstation 4/Product,,,,
7502.618164,Trigger: Pick Operator,/Line 2 Workstation 4,/Line 2 Workstation 4/Product,2.000000,,,
7502.618164,TaskSequence: Receive TS,/Translation Operator 9,/Translation Operator 9>variables/tasksequencequeue/ts158,,,,
7502.618164,TaskSequence: Begin TS,/Translation Operator 9,/Translation Operator 9>variables/activetasksequence/ts158,,,,
7502.618164,BeginTask: MileStone,/Translation Operator 9,<no path>,range: 3.000000,,,
7502.618164,BeginTask: Travel,/Translation Operator 9,/Line 2 Workstation 4,end speed: 0.000000,forcetravel: -1.000000,,
7502.618164,BeginTask: StopRequestFinish,/Translation Operator 9,/Line 2 Workstation 4,repeat: 0.000000,id: 100002.000000,already executed: 0.000000,
7502.618164,BeginTask: Utilize,/Translation Operator 9,/Line 2 Workstation 4/Product,involved2: /Line 2 Workstation 4,state: 0.000000,,
7502.911621,Trigger: OnArrival,/NN5,/car 2,toedge: 1.000000,fromedge: 0.000000,,
7502.911621,Trigger: OnContinue,/NN5,/car 2,toedge: 1.000000,fromedge: 0.000000,,
7504.106934,Trigger: OnArrival,/NN1,/car 1,toedge: 0.000000,fromedge: 1.000000,,
