Time,Event,Object,Involved,P1,P2,P3,P4
7200.000000,StatisticsCollectorTimerEventReferenceListener,/Tools/ChartTemplates/容量Vs 时间>stats/statisticsCollector/StatisticsCollector>stats/liveListeners/3,/Tools/ChartTemplates/容量Vs 时间>stats/statisticsCollector/StatisticsCollector,0.000000,0.000000,0.000000,0.000000
7200.000000,StatisticsCollectorTimerEventReferenceListener,/Tools/ChartTemplates/容量Vs 时间 1>stats/statisticsCollector/StatisticsCollector>stats/liveListeners/3,/Tools/ChartTemplates/容量Vs 时间 1>stats/statisticsCollector/StatisticsCollector,0.000000,0.000000,0.000000,0.000000
7200.000000,ProcessFlow::TimerEvent,/Tools/ProcessFlow/ReplenishFlow/发生器,/Tools/ProcessFlow/ReplenishFlow>stats/instances/ReplenishFlow,0.000000,0.000000,0.000000,0.000000
7200.000000,TaskSequence: Receive TS,/car 1,/car 1>variables/tasksequencequeue/ts79,,,,
7200.000000,TaskSequence: Begin TS,/car 1,/car 1>variables/activetasksequence/ts79,,,,
7200.000000,BeginTask: Travel,/car 1,/Material Supermarket _Loading Point_,end speed: 0.000000,forcetravel: 0.000000,,
7200.000000,StatisticsCollectorTimerEventReferenceListener,/Tools/ChartTemplates/每小时产量>stats/statisticsCollector/StatisticsCollector>stats/liveListeners/2,/Tools/ChartTemplates/每小时产量>stats/statisticsCollector/StatisticsCollector,0.000000,0.000000,0.000000,0.000000
7200.000000,StatisticsCollectorTimerEventReferenceListener,/Tools/ChartTemplates/每小时产量>stats/statisticsCollector/StatisticsCollector>stats/liveListeners/2,/Tools/ChartTemplates/每小时产量>stats/statisticsCollector/StatisticsCollector,0.000000,0.000000,0.000000,0.000000
7200.000000,StatisticsCollectorTimerEventReferenceListener,/Tools/ChartTemplates/每小时行进距离>stats/statisticsCollector/StatisticsCollector>stats/liveListeners/1,/Tools/ChartTemplates/每小时行进距离>stats/statisticsCollector/StatisticsCollector,0.000000,0.000000,0.000000,0.000000
7200.000000,StatisticsCollectorTimerEventReferenceListener,/Tools/ChartTemplates/每小时行进距离>stats/statisticsCollector/StatisticsCollector>stats/liveListeners/1,/Tools/ChartTemplates/每小时行进距离>stats/statisticsCollector/StatisticsCollector,0.000000,0.000000,0.000000,0.000000
7200.000000,StatisticsCollectorTimerEventReferenceListener,/Tools/ChartTemplates/停留时间 By 小时>stats/statisticsCollector/StatisticsCollector>stats/liveListeners/2,/Tools/ChartTemplates/停留时间 By 小时>stats/statisticsCollector/StatisticsCollector,0.000000,0.000000,0.000000,0.000000
7200.000000,StatisticsCollectorTimerEventReferenceListener,/Tools/ChartTemplates/停留时间 By 小时>stats/statisticsCollector/StatisticsCollector>stats/liveListeners/2,/Tools/ChartTemplates/停留时间 By 小时>stats/statisticsCollector/StatisticsCollector,0.000000,0.000000,0.000000,0.000000
7205.483887,Engine: Timed Event,/DefaultNetworkNavigator,/DefaultNetworkNavigator>variables/nrtofirstnode/networkrequest,EVENT_ENDTRAVELTIME,,,
7205.483887,Trigger: OnArrival,/NN14,/car 1,toedge: 1.000000,fromedge: 0.000000,,
7205.483887,Trigger: OnContinue,/NN14,/car 1,toedge: 1.000000,fromedge: 0.000000,,
7210.483887,Engine: Timed Event,/NN14,/NN14>connections/connectionsout/To NN13/activeTravelers/networkrequest,EVENT_ENDTRAVELTIME,,,
7210.483887,Trigger: OnArrival,/NN13,/car 1,toedge: 1.000000,fromedge: 2.000000,,
7210.483887,Trigger: OnContinue,/NN13,/car 1,toedge: 1.000000,fromedge: 2.000000,,
7215.483887,Engine: Timed Event,/NN13,/NN13>connections/connectionsout/To NN12/activeTravelers/networkrequest,EVENT_ENDTRAVELTIME,,,
7215.483887,Trigger: OnArrival,/NN12,/car 1,toedge: 1.000000,fromedge: 2.000000,,
7215.483887,Trigger: OnContinue,/NN12,/car 1,toedge: 1.000000,fromedge: 2.000000,,
7220.483887,Engine: Timed Event,/NN12,/NN12>connections/connectionsout/To NN11/activeTravelers/networkrequest,EVENT_ENDTRAVELTIME,,,
7220.483887,Trigger: OnArrival,/NN11,/car 1,toedge: 1.000000,fromedge: 2.000000,,
7220.483887,Trigger: OnContinue,/NN11,/car 1,toedge: 1.000000,fromedge: 2.000000,,
7225.483887,Engine: Timed Event,/NN11,/NN11>connections/connectionsout/To NN10/activeTravelers/networkrequest,EVENT_ENDTRAVELTIME,,,
7225.483887,Trigger: OnArrival,/NN10,/car 1,toedge: 1.000000,fromedge: 2.000000,,
